TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-12-03 17:07:32.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-28A0
2025-12-03 17:07:32.271,1.7971379,0.16494174,1.3623804,2.022496,1.4278088,-0.04854957,0.6503949,1.5006511,1.165065,0.2713366,0.30941758,1.6380966,0.7626798,0.15042065,0.07299114,0.9211558,0.27006817,-0.35544494,-0.3072373,0.4426701,812.3077,796.5934,801.8315,797.3993,765.9707,-0.131591796875,0.14251708984375,0.9853515625,-0.097198486328125,-1.562652587890625,0.2093505859375,396483.5164835165,9.255069597069597E7,4.89818315018315E7,63.096256,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:07:33.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:07:33.284,1.7971379,0.4490386,0.53708553,2.022496,1.4278088,0.17215355,0.007555471,1.5006511,1.165065,0.21974239,-0.17943332,1.6380966,0.7626798,0.12720309,-0.16670981,0.9211558,0.27006817,-0.27332953,-0.1865816,0.4426701,825.2015,791.75824,791.3553,830.84247,780.4762,-0.13873291015625,0.14501953125,0.98236083984375,0.179443359375,-1.757049560546875,0.067291259765625,397289.37728937727,9.237824175824176E7,4.891413919413919E7,63.172417,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:07:33.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:07:34.286,1.7971379,0.78522414,1.1291746,2.022496,1.4278088,0.26359907,0.30775082,1.5006511,1.165065,0.08915779,-0.13408346,1.6380966,0.7626798,0.19759768,0.005925611,0.9211558,0.27006817,-0.07199425,-0.24668787,0.4426701,769.19415,798.20514,803.8461,798.20514,625.7509,-0.1297607421875,0.13720703125,0.98199462890625,0.49346923828125,-2.31781005859375,-0.25421142578125,396483.5164835165,9.244432234432234E7,4.889399267399267E7,63.131687,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:07:35.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:07:35.291,1.7971379,0.6688871,0.90717524,2.022496,1.4278088,0.098555304,0.19836482,1.5006511,1.165065,0.14035189,0.23282973,1.6380966,0.7626798,0.099588916,0.064124495,0.9211558,0.27006817,-0.123095654,-0.34187344,0.4426701,805.8608,804.2491,798.60803,822.7839,539.92676,-0.13177490234375,0.1409912109375,0.9871826171875,0.5682373046875,-1.861724853515625,0.179443359375,397289.37728937727,9.23218315018315E7,4.886417582417582E7,64.274,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:07:35.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:07:36.302,1.7971379,0.34566846,1.3338189,2.022496,1.4278088,-0.10984487,0.6533096,1.5006511,1.165065,0.28473884,0.39600208,1.6380966,0.7626798,0.21982288,-0.20149088,0.9211558,0.27006817,-0.024485718,-0.48146904,0.4426701,739.7802,798.60803,826.0073,730.10986,611.6484,-0.13232421875,0.1412353515625,0.98455810546875,-0.082244873046875,-1.517791748046875,-0.336456298828125,396483.5164835165,9.218241758241758E7,4.879728937728938E7,64.35305,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:07:36.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:07:36.970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:07:37.307,1.7971379,0.2957532,1.5976195,2.022496,1.4278088,0.44557256,0.70243496,1.5006511,1.165065,0.3693719,0.0976679,1.6380966,0.7626798,0.18700168,-0.17052236,0.9211558,0.27006817,0.18634036,-0.57009494,0.4426701,722.0513,799.41394,807.47253,763.95605,765.9707,-0.131103515625,0.1375732421875,0.98724365234375,-0.127105712890625,-1.495361328125,0.007476806640625,398095.2380952381,9.21123076923077E7,4.879084249084249E7,64.30064,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:07:37.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
