TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-12-03 17:26:55.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-28A0
2025-12-03 17:26:55.799,0.54918444,0.25072712,0.22660846,1.8251526,0.47260368,0.010191173,-0.15897995,1.1103604,0.507687,0.07042571,0.031077892,1.1100322,0.344257,-0.11412813,0.013282972,1.1465211,-0.1667832,-0.31932187,-0.41805634,0.08392888,786.9231,795.78754,799.41394,785.31134,706.337,-0.07745361328125,0.08782958984375,0.996337890625,0.299072265625,-1.6748046875,-0.007476806640625,401318.6813186813,8.941831501831502E7,5.1382490842490844E7,55.370888,1,1.0,1.0,1.0,1.0,30.00
2025-12-03 17:26:56.802,0.53006023,0.21469687,0.43878385,1.7797405,0.4533589,-0.18362938,-0.17905445,1.1261753,0.5400768,0.09986567,0.025907302,1.6151482,0.21065278,-0.17823899,-0.03275072,0.8373559,-0.24368726,-0.30724064,-0.3273902,0.2458965,806.6667,794.57874,778.46155,728.49817,741.79486,-0.07794189453125,0.0870361328125,0.9923095703125,0.127105712890625,-1.92901611328125,-0.067291259765625,401318.6813186813,8.958593406593406E7,5.145904761904762E7,57.19169,1,1.0,1.0,1.0,1.0,30.00
2025-12-03 17:26:56.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:26:57.810,0.1796541,0.41860512,0.31008205,1.7551445,0.11203723,-0.12864594,0.04449831,1.3138143,0.35917327,0.18811367,0.030308187,1.6151482,-0.023769142,-0.09169575,-0.109580986,0.79741687,-0.20599087,-0.22597848,-0.27646676,0.26267216,798.60803,792.96704,797.8022,763.95605,675.7143,-0.07513427734375,0.08953857421875,0.99798583984375,0.16448974609375,-1.62994384765625,-0.2392578125,402124.5421245421,8.971648351648352E7,5.1560586080586076E7,58.667408,1,1.0,1.0,1.0,1.0,30.00
2025-12-03 17:26:58.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:26:58.822,0.1796541,0.48031715,0.7588304,1.7551445,0.11203723,0.12323575,0.4142029,1.3138143,0.35917327,0.28705105,0.25743097,1.6151482,-0.023769142,-0.15396501,-0.035346624,0.79741687,-0.20599087,-0.37059268,-0.22579001,0.26267216,794.57874,805.05493,801.8315,776.8498,916.26373,-0.0792236328125,0.09149169921875,0.9927978515625,0.157012939453125,-2.25799560546875,0.22430419921875,401318.6813186813,8.983575091575092E7,5.160490842490842E7,59.810818,1,1.0,1.0,1.0,1.0,30.00
2025-12-03 17:26:59.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:26:59.828,0.1796541,0.56864405,0.6579651,1.7551445,0.11203723,0.03858874,0.45394796,1.3138143,0.35917327,0.28885606,0.39321843,1.6151482,-0.023769142,-0.1131772,-0.09374957,0.79741687,-0.20599087,-0.40510502,-0.52312523,0.26267216,793.36993,797.8022,788.93774,770.0,812.3077,-0.07806396484375,0.08868408203125,0.99542236328125,-0.246734619140625,-2.07855224609375,-0.201873779296875,401318.6813186813,9.003076923076923E7,5.1664542124542125E7,59.121105,1,2.0,1.0,1.0,2.0,30.00
2025-12-03 17:27:00.845,0.1796541,0.6148512,0.42730543,1.7551445,0.11203723,0.15405922,0.2565639,1.3138143,0.35917327,0.20719954,0.2152331,1.6151482,-0.023769142,0.00949083,-0.066267505,0.79741687,-0.20599087,-0.31749249,-0.44796717,0.26267216,794.17584,805.4579,803.44324,807.47253,697.8755,-0.07012939453125,0.08837890625,0.9921875,-0.097198486328125,-1.98883056640625,-0.037384033203125,401318.6813186813,9.008959706959707E7,5.166131868131868E7,57.734093,1,2.0,1.0,1.0,2.0,30.00
2025-12-03 17:27:01.863,0.6259899,0.3871235,-0.0030088618,1.7551445,0.38547525,0.056578938,0.19632652,1.3138143,0.4133375,0.238949,0.07192718,1.6151482,0.18370931,0.018726364,-0.0018555013,0.79741687,-0.19708493,-0.32927963,-0.422138,0.26267216,790.54944,796.5934,788.93774,812.3077,653.5531,-0.07830810546875,0.08868408203125,0.99249267578125,-0.186920166015625,-2.1234130859375,-0.11962890625,400512.8205128205,8.992520146520147E7,5.159362637362637E7,57.293766,1,1.0,1.0,1.0,1.0,30.00
2025-12-03 17:27:02.872,0.5084159,0.07816173,-0.0020867987,1.7551445,0.41216758,0.046634275,0.109000854,1.3138143,0.43215066,0.25548756,0.28781995,1.6151482,0.31903368,-0.05557302,0.132413,0.79741687,-0.075586,-0.47971973,-0.32293528,0.26267216,789.7436,802.23444,805.4579,807.8755,790.14655,-0.07830810546875,0.09210205078125,0.9991455078125,0.059814453125,-1.734619140625,0.11962890625,401318.6813186813,8.978014652014652E7,5.150498168498168E7,56.57338,1,1.0,1.0,1.0,1.0,30.00
2025-12-03 17:27:03.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
