TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-12-03 17:00:10.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-28A0
2025-12-03 17:00:10.639,1.0897586,1.1261995,0.0,0.76705956,0.7164465,0.46064368,0.0,0.096976504,0.90583533,0.64847714,0.0,0.3675846,0.49248815,0.37750778,0.0,0.17257264,0.019446786,-0.19796742,0.0,-0.0848276,743.00366,900.9524,821.978,741.39197,557.6557,-0.08966064453125,0.16046142578125,0.97821044921875,-0.216827392578125,-0.874786376953125,-0.411224365234375,399706.9597069597,9.78895238095238E7,5.2415604395604394E7,64.616486,1,1.0,1.0,1.0,1.0,45.00
2025-12-03 17:00:11.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:00:11.646,1.243194,1.2254463,0.0,0.76705956,0.7141791,0.44958842,0.0,0.096976504,0.97774637,0.54270333,0.0,0.3675846,0.42004853,0.41052616,0.0,0.17257264,-0.09838108,-0.18690486,0.0,-0.0848276,739.7802,832.4542,841.31866,770.0,574.9817,-0.0849609375,0.15936279296875,0.97833251953125,-0.478515625,-2.145843505859375,-0.01495361328125,398095.2380952381,9.776300366300365E7,5.2327765567765564E7,63.719963,1,1.0,1.0,1.0,1.0,45.00
2025-12-03 17:00:12.652,1.283397,1.2254463,0.0,0.76705956,0.6129735,0.44958842,0.0,0.096976504,0.9091493,0.54270333,0.0,0.3675846,0.42724767,0.41052616,0.0,0.17257264,-0.14910789,-0.18690486,0.0,-0.0848276,755.89746,777.6557,816.7399,844.5421,670.4762,-0.0849609375,0.15887451171875,0.98406982421875,0.16448974609375,-2.519683837890625,-0.059814453125,399706.9597069597,9.784197802197802E7,5.227377289377289E7,64.08139,1,1.0,1.0,1.0,1.0,45.00
2025-12-03 17:00:13.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:00:13.661,1.283397,0.7873382,0.0,0.76705956,0.6129735,0.5781982,0.0,0.096976504,0.9091493,0.26001087,0.0,0.3675846,0.42724767,0.17523701,0.0,0.17257264,-0.14910789,-0.017499411,0.0,-0.0848276,738.97437,786.9231,797.3993,823.1868,664.0293,-0.087890625,0.1566162109375,0.98291015625,-0.411224365234375,-2.115936279296875,-0.171966552734375,398901.0989010989,9.790967032967032E7,5.223428571428572E7,64.83762,1,1.0,1.0,1.0,1.0,45.00
2025-12-03 17:00:13.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:00:14.668,1.283397,0.97788286,0.0,0.76705956,0.6129735,0.40278155,0.0,0.096976504,0.9091493,0.789889,0.0,0.3675846,0.42724767,0.2191508,0.0,0.17257264,-0.14910789,-0.11678092,0.0,-0.0848276,793.36993,810.696,817.1429,772.4176,564.90845,-0.08807373046875,0.16290283203125,0.981201171875,0.261688232421875,-2.071075439453125,0.112152099609375,399706.9597069597,9.800556776556776E7,5.217223443223443E7,64.95697,1,2.0,1.0,1.0,2.0,45.00
2025-12-03 17:00:15.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:00:15.672,1.283397,1.067762,0.0,0.76705956,0.6129735,0.21048117,0.0,0.096976504,0.9091493,0.75645834,0.0,0.3675846,0.42724767,0.23262021,0.0,0.17257264,-0.14910789,-0.07347078,0.0,-0.0848276,767.1795,819.9634,823.9927,745.82416,803.0403,-0.08270263671875,0.1546630859375,0.985595703125,-0.067291259765625,-1.65985107421875,0.366363525390625,398901.0989010989,9.79902564102564E7,5.207391941391941E7,62.634445,1,2.0,1.0,1.0,2.0,45.00
