TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-12-03 17:19:37.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-28A0
2025-12-03 17:19:37.910,1.9854332,0.42588243,1.1480246,1.3647426,1.475023,0.37582883,0.18156329,1.9191302,1.69177,0.264529,-0.24014962,1.4800552,1.2966623,-0.16844057,0.092909835,0.9813137,0.6571652,-0.507218,-0.3075598,0.32585955,756.7033,790.14655,815.5311,919.89014,642.27106,0.0528564453125,0.1383056640625,0.99053955078125,0.770111083984375,2.908477783203125,-0.844879150390625,398095.2380952381,1.1012168498168498E8,6.748520146520147E7,60.81614,1,2.0,1.0,1.0,2.0,35.00
2025-12-03 17:19:38.918,1.9854332,0.6783312,1.1480246,1.3647426,1.475023,0.12963241,0.18156329,1.9191302,1.69177,0.17078616,-0.24014962,1.4800552,1.2966623,-0.090561956,0.092909835,0.9813137,0.6571652,-0.55172455,-0.3075598,0.32585955,812.3077,807.47253,754.68866,813.91943,431.53845,-0.047607421875,0.0101318359375,0.99786376953125,8.8824462890625,2.863616943359375,10.235748291015625,398901.0989010989,1.0939399267399268E8,6.6258681318681315E7,60.81614,1,2.0,1.0,1.0,2.0,35.00
2025-12-03 17:19:39.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:19:39.920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:19:39.921,1.9854332,0.7402815,1.1480246,1.3647426,1.475023,0.33184612,0.18156329,1.9191302,1.69177,0.10930577,-0.24014962,1.4800552,1.2966623,-0.013107388,0.092909835,0.9813137,0.6571652,-0.42834446,-0.3075598,0.32585955,671.685,815.9341,806.6667,867.9121,627.3626,-0.03326416015625,0.0228271484375,1.00421142578125,3.45428466796875,-12.523651123046875,-4.9346923828125,399706.9597069597,1.0900879120879121E8,6.578805860805861E7,84.802574,1,2.0,1.0,1.0,2.0,35.00
2025-12-03 17:19:40.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:19:40.925,1.9854332,0.9650239,1.1480246,1.3647426,1.475023,0.5346666,0.18156329,1.9191302,1.69177,0.20710346,-0.24014962,1.4800552,1.2966623,0.0143391555,0.092909835,0.9813137,0.6571652,-0.45531654,-0.3075598,0.32585955,782.49084,791.3553,813.1135,559.67035,660.0,0.008544921875,-0.0185546875,0.97723388671875,3.985137939453125,-4.74029541015625,-0.11962890625,398901.0989010989,1.0907567765567765E8,6.578241758241758E7,93.889336,1,2.0,1.0,1.0,2.0,35.00
2025-12-03 17:19:41.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:19:41.935,1.9854332,0.71336925,1.1480246,1.3647426,1.475023,0.011499716,0.18156329,1.9191302,1.69177,0.19837706,-0.24014962,1.4800552,1.2966623,-0.15535316,0.092909835,0.9813137,0.6571652,-0.51279396,-0.3075598,0.32585955,887.25275,798.20514,806.6667,868.315,448.0586,-0.01605224609375,-0.0208740234375,1.00738525390625,-0.814971923828125,-5.674896240234375,-5.166473388671875,399706.9597069597,1.0900395604395604E8,6.5624468864468865E7,88.94986,1,2.0,1.0,1.0,2.0,35.00
2025-12-03 17:19:42.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:19:42.942,1.9854332,0.6497929,1.1480246,1.3647426,1.475023,-0.07305332,0.18156329,1.9191302,1.69177,0.28658798,-0.24014962,1.4800552,1.2966623,-0.061096903,0.092909835,0.9813137,0.6571652,-0.47774655,-0.3075598,0.32585955,722.4542,782.8938,767.5824,759.5238,584.65204,0.05206298828125,-0.10992431640625,1.0001220703125,-0.934600830078125,-2.452392578125,-1.607513427734375,398901.0989010989,1.0952051282051282E8,6.595487179487179E7,76.79953,1,2.0,1.0,1.0,2.0,35.00
2025-12-03 17:19:43.956,1.9854332,0.77102053,1.1480246,1.3647426,1.475023,0.0727084,0.18156329,1.9191302,1.69177,0.29759508,-0.24014962,1.4800552,1.2966623,-0.15440778,0.092909835,0.9813137,0.6571652,-0.57338995,-0.3075598,0.32585955,770.40295,790.54944,817.5458,814.3223,670.07324,0.04510498046875,-0.11541748046875,0.99346923828125,0.142059326171875,-2.3626708984375,0.07476806640625,398095.2380952381,1.0955919413919413E8,6.590813186813187E7,76.79953,1,2.0,1.0,1.0,2.0,35.00
2025-12-03 17:19:44.958,1.9854332,0.25178364,1.1480246,0.9055304,1.475023,-0.20750336,0.18156329,0.63717353,1.69177,-0.53398776,-0.24014962,0.85469073,1.2966623,-0.2252332,0.092909835,0.98127186,0.6571652,-0.5904564,-0.3075598,0.31898835,775.2381,790.14655,799.011,840.10986,838.49817,0.029296875,-0.10809326171875,0.98370361328125,-0.665435791015625,-0.7476806640625,-0.299072265625,398095.2380952381,1.0899186813186812E8,6.557934065934066E7,76.79953,1,1.0,1.0,1.0,1.0,35.00
2025-12-03 17:19:45.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:19:45.973,1.9854332,0.28603086,1.1480246,0.9712275,1.475023,-0.4192691,0.18156329,0.6687711,1.69177,-0.26064542,-0.24014962,0.83448315,1.2966623,-0.22055389,0.092909835,0.9148236,0.6571652,-0.5850197,-0.3075598,0.3026528,710.3663,799.81683,767.5824,807.8755,594.3223,0.0294189453125,-0.10357666015625,0.99371337890625,0.186920166015625,-1.891632080078125,-0.650482177734375,398095.2380952381,1.0881296703296703E8,6.536417582417582E7,76.79953,1,1.0,1.0,1.0,1.0,35.00
2025-12-03 17:19:46.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
