TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-12-03 17:14:54.970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-28A0
2025-12-03 17:14:54.983,0.77751905,1.1885049,1.0598313,1.3208219,0.47512138,0.27315715,0.37786204,0.8040862,0.56051075,0.3398834,0.47356135,0.7637963,0.4995224,0.40493083,-0.00421577,0.6471133,-0.22189493,-0.19650175,-0.6418452,0.35019997,764.7619,814.7253,820.3663,783.69965,645.4945,-0.15972900390625,0.2039794921875,0.9727783203125,-0.0897216796875,-1.80938720703125,0.022430419921875,408571.4285714286,9.100263736263736E7,5.19014652014652E7,71.68067,1,1.0,1.0,1.0,1.0,40.00
2025-12-03 17:14:55.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:14:55.992,1.2729369,0.81137043,1.1272662,1.1950411,0.5367025,0.15745755,0.61095524,0.6633164,0.81608206,0.3398834,0.23955543,0.7637963,0.6084771,0.15670657,-0.084965475,0.60856766,-0.015110645,-0.19261308,-0.5250856,0.24369937,777.6557,803.8461,808.68134,786.9231,724.87177,-0.16888427734375,0.19195556640625,0.97216796875,-0.426177978515625,-2.1533203125,0.538330078125,406959.70695970696,9.103326007326007E7,5.204410256410256E7,70.921524,1,1.0,1.0,1.0,1.0,40.00
2025-12-03 17:14:56.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:14:56.998,1.286482,0.35109285,1.2915791,0.77806383,0.46363065,0.019417496,0.7476675,0.28844237,0.81224865,-0.030197402,0.2543966,0.13849856,0.57784146,0.016310334,-0.12537774,0.5185061,-0.019611795,-0.3475606,-0.50919545,0.039559253,816.7399,808.2784,804.65204,796.5934,587.0696,-0.160400390625,0.194091796875,0.9722900390625,-0.725250244140625,-1.83929443359375,0.306549072265625,406959.70695970696,9.097362637362637E7,5.2075531135531135E7,71.147865,1,1.0,1.0,1.0,1.0,40.00
2025-12-03 17:14:58.007,1.286482,0.3616728,1.1902814,0.77806383,0.46363065,0.15194525,0.53532445,0.28844237,0.81224865,0.08995338,0.15116435,0.13849856,0.57784146,0.03624198,-0.012587222,0.5185061,-0.019611795,-0.37660608,-0.5176713,0.039559253,821.1722,728.49817,788.1319,794.17584,799.011,-0.1646728515625,0.1953125,0.97119140625,0.478515625,-1.308441162109375,0.5682373046875,406153.8461538461,9.128630036630036E7,5.2146446886446886E7,69.96582,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:14:59.013,0.94932467,0.26149943,1.1684557,0.77806383,0.81854,0.1270388,0.48000467,0.28844237,0.9091858,-0.19063497,-8.0948416E-4,0.13849856,0.453119,-4.535497E-4,0.041518312,0.5185061,0.047023367,-0.37513223,-0.49728164,0.039559253,783.69965,833.2601,808.2784,782.49084,681.3553,-0.1697998046875,0.19708251953125,0.9654541015625,-0.127105712890625,-1.697235107421875,-0.994415283203125,406959.70695970696,9.157157509157509E7,5.222703296703297E7,69.95751,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:14:59.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:15:00.018,0.97359324,0.26149943,1.1684557,0.77806383,0.9181238,0.1270388,0.48000467,0.28844237,0.9114836,-0.19063497,-8.0948416E-4,0.13849856,0.45607418,-4.535497E-4,0.041518312,0.5185061,0.043201227,-0.37513223,-0.49728164,0.039559253,775.64105,813.1135,824.3956,760.32965,504.46887,-0.1737060546875,0.19696044921875,0.96661376953125,0.35888671875,-1.487884521484375,-0.231781005859375,407765.56776556774,9.190923076923077E7,5.227699633699634E7,71.251495,1,1.0,1.0,1.0,1.0,40.00
2025-12-03 17:15:00.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:15:01.030,0.9646012,0.76452535,1.2148691,0.77806383,0.96681374,0.07548899,0.78770745,0.28844237,0.82558405,0.16148151,0.59864926,0.13849856,0.45371032,0.07854401,-0.06276904,0.5185061,0.048616823,-0.1913247,-0.33327082,0.039559253,750.65936,815.9341,823.5897,779.2674,67.69231,-0.1759033203125,0.20013427734375,0.977294921875,0.007476806640625,-1.906585693359375,1.577606201171875,409377.28937728936,9.160542124542125E7,5.209326007326007E7,72.59969,1,1.0,1.0,1.0,1.0,40.00
2025-12-03 17:15:01.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:15:01.760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:15:01.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:15:02.037,0.9646012,0.44519454,0.7499396,0.77806383,0.96681374,-0.049384434,0.54207677,0.28844237,0.82558405,-0.043898586,0.14744619,0.13849856,0.45371032,0.085267544,-0.046603847,0.5185061,0.048616823,-0.34024373,-0.22818808,0.039559253,815.5311,812.71063,809.0842,805.05493,921.0989,-0.16009521484375,0.198486328125,0.96807861328125,0.785064697265625,0.6280517578125,-0.859832763671875,407765.56776556774,9.10840293040293E7,5.200622710622711E7,75.100266,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:15:02.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:15:02.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-12-03 17:15:03.039,0.9646012,-0.01759042,0.6037167,0.77806383,0.96681374,-0.004149999,0.25511268,0.28844237,0.82558405,-0.016215028,0.29396936,0.13849856,0.45371032,-0.07920116,0.048704408,0.5185061,0.048616823,-0.41249034,-0.2552224,0.039559253,693.0403,821.5751,845.7509,735.7509,460.9524,-0.1671142578125,0.196044921875,0.9658203125,0.321502685546875,-2.310333251953125,-0.456085205078125,407765.56776556774,9.124520146520147E7,5.2162564102564104E7,75.36662,1,2.0,1.0,1.0,2.0,40.00
2025-12-03 17:15:03.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
